record_id,theme,summary,source,opportunity_ids,reviewed,notes
paper_01,trust,"An Empirical Investigation of Online Consumer Trust: Examines structural assurances and vendor reputation in driving initial online purchase decisions.",Gefen, Karahanna, & Straub (2003) MIS Quarterly,opp_quality_assurance;opp_support_refund,true,Topic: Initial Online Trust | Theme: trust.
paper_02,risk,"Consumer Trust, Perceived Risk, and Online Purchase Intention: Analyzes how perceived risk acts as a primary negative determinant of e-commerce transaction adoption.",Kim, Ferrin, & Rao (2008) Decision Support Systems,opp_quality_assurance;opp_support_refund,true,Topic: Perceived Risk & Purchase Intention | Theme: risk.
paper_03,trust,"Trust and TAM in Online Shopping: Demonstrates that trust in platform integrity directly mitigates perceived risk during novel category trial.",Pavlou (2003) International Journal of Electronic Commerce,opp_quality_assurance;opp_category_onboarding,true,Topic: Technology Acceptance & Trust | Theme: trust.
paper_04,trial,"When Choice is Demotivating: Demonstrates that excessive options diminish buying satisfaction and increase post-choice regret.",Iyengar & Lepper (2000) Journal of Personality and Social Psychology,opp_category_onboarding;opp_fulfillment_control,true,Topic: Choice Overload | Theme: trial.
paper_05,habit,"Habit vs. Intention in E-Commerce Repurchase: Finds that habitual shopping routines dominate repeat purchase behavior after initial trial hurdles are overcome.",Gefen (2003) Journal of Organizational Computing and Electronic Commerce,opp_fulfillment_control;opp_category_onboarding,true,Topic: E-Commerce Repurchase Habit | Theme: habit.
paper_06,trust,"Initial Trust in E-Commerce Merchants: Proposes a conceptual framework highlighting the role of institutional guarantees in establishing early consumer confidence.",McKnight, Choudhury, & Kacmar (2002) Information Systems Research,opp_quality_assurance;opp_freshness_guarantee,true,Topic: Initial Trust Formation | Theme: trust.
paper_07,repeat_purchase,"Understanding Information Systems Continuance: Establishes Expectation-Confirmation Theory as the baseline for post-purchase satisfaction and repurchase intention.",Bhattacherjee (2001) MIS Quarterly,opp_fulfillment_control;opp_freshness_guarantee,true,Topic: IS Continuance & Repurchase | Theme: repeat_purchase.
paper_08,abandonment,"Understanding Customer Churn & Switching Costs: Investigates how service resolution failures drive customer churn to competing digital platforms.",Keaveney (1995) Journal of Marketing,opp_support_refund;opp_fulfillment_control,true,Topic: Service Switching & Churn | Theme: abandonment.
paper_09,social_proof,"The Impact of Online Consumer Reviews on Product Sales: Shows how customer reviews and rating volume significantly reduce uncertainty in online purchasing.",Chevalier & Mayzlin (2006) Journal of Marketing Research,opp_quality_assurance,true,Topic: UGC Reviews & Sales Impact | Theme: social_proof.
paper_10,decision_fatigue,"Decision Fatigue and Self-Control Depletion: Explores how sequential decision-making degrades cognitive control and increases default-seeking behavior.",Baumeister et al. (1998) Journal of Personality and Social Psychology,opp_category_onboarding,true,Topic: Decision Fatigue | Theme: decision_fatigue.
paper_11,risk,"Prospect Theory: An Analysis of Decision under Risk: Outlines how human decision-making evaluates gains and losses asymmetrical under uncertainty.",Kahneman & Tversky (1979) Econometrica,opp_quality_assurance;opp_support_refund,true,Topic: Risk Asymmetry | Theme: risk.
paper_12,trust,"Consumer Trust in E-Commerce Services: Investigates the impact of platform transparency and third-party assurances on transaction commitment.",Urban, Sultan, & Qualls (2000) Sloan Management Review,opp_quality_assurance,true,Topic: Platform Trust Building | Theme: trust.
paper_13,trial,"The Role of Perceived Risk in Online Grocery Shopping: Identifies freshness and order accuracy concerns as top barriers to initial grocery e-commerce trial.",Verhoef & Langerak (2001) International Journal of Retail & Distribution Management,opp_freshness_guarantee;opp_category_onboarding,true,Topic: Online Grocery Adoption Barriers | Theme: trial.
paper_14,habit,"Predicting Consumer Online Habitual Buying: Explores the transition from intentional search to automatic cart addition in online grocery apps.",Ji & Wood (2007) Journal of Consumer Psychology,opp_fulfillment_control;opp_category_onboarding,true,Topic: Online Habitual Shopping | Theme: habit.
paper_15,social_proof,"Word-of-Mouth Communication in E-Commerce: Examines how online peer recommendations reduce perceived risk during first-time purchases.",Forman, Ghose, & Wiesenfeld (2008) Information Systems Research,opp_quality_assurance,true,Topic: Electronic Word-of-Mouth | Theme: social_proof.
paper_16,abandonment,"Shopping Cart Abandonment in E-Commerce: Identifies unanticipated costs and complex checkout processes as primary causes of cart abandonment.",Kukar-Kinney & Close (2010) Journal of Retailing,opp_support_refund;opp_category_onboarding,true,Topic: Cart Abandonment | Theme: abandonment.
paper_17,risk,"Perceived Risk and Risk Reduction in Consumer Behavior: Synthesizes risk categories (financial, performance, psychological) and effective merchant mitigation tactics.",Roselius (1971) Journal of Marketing,opp_quality_assurance;opp_support_refund,true,Topic: Risk Reduction Tactics | Theme: risk.
paper_18,repeat_purchase,"Customer Loyalty in E-Commerce: Shows that post-purchase customer support quality and order fulfillment accuracy are stronger drivers of loyalty than prices.",Reibstein (2002) International Journal of Electronic Commerce,opp_fulfillment_control;opp_support_refund,true,Topic: E-Commerce Loyalty Drivers | Theme: repeat_purchase.
